vente_id;date;region;produit;quantite;prix_unitaire
V001;2026-05-01;Nord;Clavier;1;45
V002;2026-05-02;Sud;Souris;inconnu;20
V003;2026-05-03;Est;Écran;3;180
V004;2026-05-04;Ouest;Clavier;4;45
V005;2026-05-05;Nord;Souris;5;20
V006;2026-05-06;Sud;Écran;1;180
V007;2026-05-07;Est;Clavier;2;
V008;2026-05-08;Ouest;Souris;3;20
V009;2026-05-09;Nord;Écran;4;180
V010;2026-05-10; Nord ;Clavier;5;45
V011;2026-05-11;Est;Souris;1;20
V012;2026-05-12;Ouest;Écran;0;180
V013;2026-05-13;Nord;Clavier;3;45
V014;2026-05-14;Sud;Souris;4;20
V015;2026-05-15;Est;Écran;5;180
V016;2026-05-16;Ouest;Clavier;1;45
V017;2026-05-17;Nord;Souris;2;20
V018;2026-05-18;;Écran;3;180
V019;2026-05-19;Est;Clavier;4;45
V020;2026-05-20;Ouest;Souris;5;20
V021;2026-05-21;Nord;Écran;1;180
V022;2026-05-22;Sud;Clavier;2;45
V023;2026-05-23;Est;Souris;3;20
V024;2026-05-24;Ouest;Écran;4;180
V025;2026-05-25;Nord;Clavier;5;45
V026;2026-05-26;Sud;Souris;1;20
V027;2026-05-27;Est;Écran;2;180
V028;2026-05-28;Ouest;Clavier;3;45
V029;2026-05-01;Nord;Souris;4;20
V030;2026-05-02;Sud;Écran;5;180
V031;2026-05-03;Est;Clavier;1;45
V032;2026-05-04;Ouest;Souris;2;20
V033;2026-05-05;Nord;Écran;3;180
V034;2026-05-06;Sud;Clavier;4;45
V035;2026-05-07;Est;Souris;5;20
V036;2026-05-08;Ouest;Écran;1;180
V005;2026-05-05;Nord;Souris;5;20
V006;2026-05-06;Sud;Écran;1;180
