Indicateur;Intitule;Perimetre;Responsable;Etat;Nature piece;Reference et emplacement;Version;Date preuve;Date revue;Relecteur;Prochaine action;Echeance
1;Information publique;Applicable;A designer;A reunir;;;;;;;Valider les 81 programmes, les tarifs, le régime de TVA, les délais et les conditions réelles.;
2;Résultats;Applicable;A designer;A reunir;;;;;;;Produire un bilan de sessions réelles avec période, effectifs, dénominateurs, sources et validation.;
3;Information sur la certification;Conditionnel : offres certifiantes;A designer;A reunir;;;;;;;"Inventorier les offres réellement certifiantes ; vérifier fiches RNCP/RS, résultats, blocs, passerelles et débouchés. Sinon documenter l’absence d’offres concernées.";
4;Analyse du besoin;Applicable;A designer;A reunir;;;;;;;Conserver entretien, attentes du bénéficiaire et du commanditaire, décision d’adaptation.;
5;Objectifs évaluables;Applicable;A designer;A reunir;;;;;;;Visa du responsable pédagogique, cohérence avec les besoins et critères d’atteinte validés.;
6;Conception adaptée;Applicable;A designer;A reunir;;;;;;;Validation des contenus par un expert et adaptation documentée pour chaque session.;
7;Adéquation à la certification;Conditionnel : offres certifiantes;A designer;A reunir;;;;;;;"Référentiel officiel, correspondance des contenus et habilitations ; justification de non-applicabilité le cas échéant.";
8;Positionnement initial;Applicable aux actions de formation;A designer;A reunir;;;;;;;Test ou entretien initial adapté, vérification des prérequis et décision pédagogique enregistrée.;
9;Information avant formation;Applicable;A designer;A reunir;;;;;;;Convocation, règlement intérieur, contrat/convention, livret et preuve de transmission avant session.;
10;Adaptation et suivi;Applicable;A designer;A reunir;;;;;;;Plan d’accompagnement réel, aménagements convenus, suivi des difficultés et bilan.;
11;Évaluation des acquis;Applicable;A designer;A reunir;;;;;;;Grilles approuvées, évaluations réelles, décisions d’atteinte et remédiation.;
12;Engagement et prévention;Applicable;A designer;A reunir;;;;;;;"Règles de relance, suivi des absences/ruptures, prévention et traitement des violences ; responsables désignés.";
13;Coordination de l’alternance;Conditionnel : alternance;A designer;A reunir;;;;;;;Si concerné : calendrier et missions progressives, lien entreprise, bilans tripartites. Sinon décision motivée.;
14;Accompagnement des apprentis;Conditionnel : CFA;A designer;A reunir;;;;;;;"Si CFA : accompagnement socio-professionnel, citoyenneté et prise en charge des ruptures ; pièces réelles.";
15;Droits des apprentis;Conditionnel : CFA;A designer;A reunir;;;;;;;"Si CFA : information droits/devoirs, sécurité, prévention, interlocuteurs et médiation ; preuve de transmission.";
16;Présentation à la certification;Conditionnel : offres certifiantes;A designer;A reunir;;;;;;;Vérifier règlement de certification, convocations, conditions d’accès et résultats.;
17;Moyens adaptés;Applicable;A designer;A reunir;;;;;;;Locaux, accessibilité, équipements, tests de charge, assistance et moyens humains réels.;
18;Coordination des intervenants;Applicable;A designer;A reunir;;;;;;;Organigramme, fiches de mission, planning et comptes rendus de coordination.;
19;Ressources et appropriation;Applicable;A designer;A reunir;;;;;;;"Compléter les autres cours ; constater l’usage effectif et l’accompagnement réel en FOAD.";
20;Organisation du CFA;Conditionnel : CFA;A designer;A reunir;;;;;;;Si CFA : référents, mobilité, conseil de perfectionnement, gouvernance et supervision requises.;
21;Compétences des intervenants;Applicable;A designer;A reunir;;;;;;;CV, qualifications pertinentes, expérience, sélection et évaluation des interventions.;
22;Développement des compétences;Selon personnel et obligations applicables;A designer;A reunir;;;;;;;"Plan de développement, actions réalisées, attestations et bilan d’application ; périmètre à confirmer.";
23;Veille réglementaire;Applicable;A designer;A reunir;;;;;;;Désigner un responsable et tracer les revues récurrentes, décisions et changements appliqués.;
24;Veille métiers;Applicable;A designer;A reunir;;;;;;;Sources métiers, revue datée et effet concret sur les programmes.;
25;Veille pédagogique et technique;Applicable;A designer;A reunir;;;;;;;Essais documentés, comparaison, adoption ou rejet motivé et mesure des effets.;
26;Réseau handicap;Applicable;A designer;A reunir;;;;;;;Référent identifié, partenaires contactés, ressources d’orientation et aménagements réellement convenus.;
27;Sous-traitance;Conditionnel : sous-traitance ou portage;A designer;A reunir;;;;;;;"Contrats, périmètre, compétences, contrôle qualité et suivi ; exigences applicables au financement à vérifier.";
28;Formation en situation de travail;Conditionnel : périodes en entreprise / AFEST;A designer;A reunir;;;;;;;Partenaires, ingénierie, séquences réflexives, accompagnement et évaluations selon dispositif.;
29;Insertion des apprentis;Conditionnel : CFA;A designer;A reunir;;;;;;;Si CFA : partenariats, accompagnement vers l’emploi ou les études et suivi des résultats.;
30;Appréciations des parties prenantes;Applicable;A designer;A reunir;;;;;;;Campagne réelle, invitations et relances, retours ou preuves de sollicitation, analyse partagée.;
31;Difficultés et réclamations;Applicable;A designer;A reunir;;;;;;;"Désigner le responsable et les délais ; prouver la réponse et le traitement effectif des dossiers réels.";
32;Amélioration continue;Applicable;A designer;A reunir;;;;;;;Analyse des retours, risques, actions, responsable, échéance et vérification d’efficacité réelle.;
33;Évaluation des enseignements (évolution);"À partir du 01/11/2026 : CFA ; périmètre à confirmer";A designer;A reunir;;;;;;;Si CFA : collecte réelle, partage pédagogique, actions et efficacité périodique. Disponible à titre volontaire hors CFA.;
