numero;element;statut;constat_et_emplacement;action_proposee;priorite
1;Présentation et positionnement;EXISTANT À AMÉLIORER;"[À propos](https://beyond-expertise.com/a-propos), accueil, pages exécutives ; S01, S02. Positionnement général surtout formation professionnelle B2B/data/IA.";"Clarifier le rôle du centre, l’offre exécutive et les publics africains ; publier l’identité juridique vérifiée ; enlever les formulations de prototype.";"P0 identité ; P1 éditorial"
2;Page MBA;EXISTANT ET FONCTIONNEL;"[/mba](https://beyond-expertise.com/mba), 21 programmes filtrables ; S02, S03.";"Conserver ; ajouter conditions validées, réassurance et CTA commerciaux adaptés.";P1
3;Page doctorat/DBA;EXISTANT ET FONCTIONNEL;"[/dba](https://beyond-expertise.com/dba), 10 axes ; S02, S03. La fonction vérifiée est une page DBA.";"Conserver ; ne pas assimiler son existence à une habilitation à délivrer un doctorat national. Publier la nature exacte du titre seulement après preuve.";"P0 titre ; P1 conversion"
4;Une page par programme;EXISTANT ET FONCTIONNEL;"31 URL `/mba-dba/{slug}` ; modèle partagé S04 et annexe des programmes.";Enrichir la source commune, sans reconstruire 31 pages à la main.;P1
5;Informations complètes par programme;EXISTANT À AMÉLIORER;"S04, S05, S06 ; contenus pédagogiques présents, plusieurs conditions différées.";"Voir les 20 critères ci-dessous ; diplôme/émetteur/preuves et conditions réelles en premier.";P0
6;Brochure PDF par programme/catégorie;EXISTANT À AMÉLIORER;31 PDF `/programmes-executive/{slug}.pdf`, générateur S07. Téléchargements fonctionnels.;"Compléter les informations commerciales et académiques vérifiées ; améliorer la présentation commerciale et remonter le CTA. Aucun besoin de recréer le système PDF.";"P0 contenu ; P1 présentation"
7;Landing publicitaire Afrique;ABSENT;"`/mba`, `/dba`, `/mba-dba` évoquent déjà l’Afrique ; `/entreprises/afrique` est une page B2B de services, S08. Pas de landing de campagne dédiée avec tunnel et mesure.";Réutiliser les composants pour une page par famille/intention publicitaire, avec programme identifié, conditions, preuves et conversion principale.;P0
8;Formulaire de génération de leads;EXISTANT À AMÉLIORER;"[/mba-dba/candidature](https://beyond-expertise.com/mba-dba/candidature), `/contact`, `/devis` ; S09, S10. Sauvegarde opérationnelle localement.";"Ajouter une version courte « brochure / tarifs / conseiller » ; garder la candidature détaillée pour l’étape suivante ; accusé et affectation à un conseiller.";P0
9;WhatsApp Business visible et traçable;ABSENT;Aucun lien `wa.me`/WhatsApp ni événement correspondant dans les pages et ressources inspectées. L’assistant du site est un autre canal.;Numéro Business validé par Beyond, lien/message contextualisé, événement de clic et rapprochement au dossier quand le contact réel est connu.;"P1 ; P0 si canal principal des annonces"
10;Demande de rappel;ABSENT;"« Demander un entretien » mène à la candidature en mode information ; téléphone facultatif, aucun choix de rappel/créneau. S04, S09.";Ajouter une intention « être rappelé », téléphone avec indicatif, fuseau/disponibilité et tâche dans le suivi existant.;"P1 ; P0 si promesse de l’annonce"
11;Prise de rendez-vous en ligne;ABSENT;Pas d’agenda ni de confirmation de réservation. Le statut « Entretien à organiser » n’est pas un rendez-vous pris. S11.;Brancher un agenda réellement tenu, avec fuseaux, disponibilités, confirmation, annulation et retour fiable au CRM.;P1
12;Page de confirmation mesurable;ABSENT;"Un reçu s’affiche dans la page de candidature, sans changement d’URL ; S09:70.";Créer une confirmation liée à un enregistrement accepté, avec suite utile. Empêcher le comptage d’un simple rechargement ou accès direct comme nouvelle conversion.;P0
