type;intitule;slug;page;page_http;brochure;pdf_http;pdf_pages;pdf_octets;pdf_sha256;modules_ou_jalons;duree_cible;rythme_indicatif;titre_present_pdf;modules_presents_pdf;lien_pdf_candidature_correct;objectifs_renseignes;prerequis_renseignes;public_renseigne;evaluation_renseignee;projet_renseigne;duree_definitive;format_100_distance;organisation;accompagnement;diplome_exact;organisme_emetteur;double_diplomation;reconnaissance;tarif;paiement;rentree_confirmee;candidature;inscription_definitive;cours_statut_production;cours_publie_production
MBA;Direction générale, stratégie et croissance responsable;mba-direction-strategie-croissance;https://beyond-expertise.com/mba-dba/mba-direction-strategie-croissance;200;https://beyond-expertise.com/programmes-executive/mba-direction-strategie-croissance.pdf;200;4;81923;6127d023b5abaf78edd88e1d2f847129824b108270cd996e5ffa9b84573c26e3;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Transformation digitale, IA et leadership du changement;mba-transformation-digitale-ia;https://beyond-expertise.com/mba-dba/mba-transformation-digitale-ia;200;https://beyond-expertise.com/programmes-executive/mba-transformation-digitale-ia.pdf;200;4;81851;29606c8a71bb528b10b1b65611a80f069c597728d8cee82035e7ea76b69abab9;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Data, intelligence artificielle et cyber-résilience;mba-data-ia-cyber-resilience;https://beyond-expertise.com/mba-dba/mba-data-ia-cyber-resilience;200;https://beyond-expertise.com/programmes-executive/mba-data-ia-cyber-resilience.pdf;200;4;82165;ff50774eace3b024972950d5b1d14da08db3dbe91a1f9610447fb626447914f0;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Direction de projets, programmes et agilité;mba-projets-programmes-agilite;https://beyond-expertise.com/mba-dba/mba-projets-programmes-agilite;200;https://beyond-expertise.com/programmes-executive/mba-projets-programmes-agilite.pdf;200;4;81842;d4637c8634d911acc413fadf7c3eb9fb512ff1b739d7a0aa2183c6aa401e5be0;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Entrepreneuriat, innovation et développement d’affaires;mba-entrepreneuriat-ventures;https://beyond-expertise.com/mba-dba/mba-entrepreneuriat-ventures;200;https://beyond-expertise.com/programmes-executive/mba-entrepreneuriat-ventures.pdf;200;4;82016;8d375a1af36d218d2fc5d9b98923aaf9a011b4a408e4ece8b9d122989b13dac5;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Marketing stratégique, croissance et expérience client;mba-marketing-croissance-commerciale;https://beyond-expertise.com/mba-dba/mba-marketing-croissance-commerciale;200;https://beyond-expertise.com/programmes-executive/mba-marketing-croissance-commerciale.pdf;200;4;81750;1726f36bb61a1f6f8dd1624ed52846cdc5368495e0b50c2680055cef41b7e171;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Leadership RH, talents et transformation du travail;mba-rh-talents-transformation;https://beyond-expertise.com/mba-dba/mba-rh-talents-transformation;200;https://beyond-expertise.com/programmes-executive/mba-rh-talents-transformation.pdf;200;4;81848;488bd158f613d5597caa1b37c5d31afa06611e10f899d1e20a78bb2c9fe5d5c6;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Supply chain, achats et opérations résilientes;mba-supply-chain-resilience;https://beyond-expertise.com/mba-dba/mba-supply-chain-resilience;200;https://beyond-expertise.com/programmes-executive/mba-supply-chain-resilience.pdf;200;4;81964;70021a85db6a0d51cd6428a5f881276bd8329fc9b226f13fe0ee20fb4c187d38;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;Performance industrielle, innovation et industrie connectée;mba-industrie-innovation-performance;https://beyond-expertise.com/mba-dba/mba-industrie-innovation-performance;200;https://beyond-expertise.com/programmes-executive/mba-industrie-innovation-performance.pdf;200;4;81725;2e22372456e6de3263b663b1deb972eab756102b75e10580fdf8fddcc426503b;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
MBA;QHSE, maîtrise des risques et performance durable;mba-qhse-risques-durabilite;https://beyond-expertise.com/mba-dba/mba-qhse-risques-durabilite;200;https://beyond-expertise.com/programmes-executive/mba-qhse-risques-durabilite.pdf;200;4;82038;4c074b25066000a626db70896054f52a4a346beada832d5834a9720afbe72119;10;12 mois;6 à 8 h par semaine;True;True;True;True;True;True;True;True;A CONFIRMER;A CONFIRMER;EXISTANT A AMELIORER;EXISTANT A AMELIORER;NON VERIFIABLE;NON VERIFIABLE;NON VERIFIABLE - NON PUBLIEE;NON VERIFIABLE;SUR DEVIS - CONDITIONS A CONFIRMER;ECHEANCIER A ETUDIER - MODALITES A CONFIRMER;ABSENT;FONCTIONNELLE - TEST LOCAL DU TRAITEMENT;ABSENT;DRAFT;False
